ID,age,age_group,credit_card_balance_ratio,debt_ratio,defaulted,gender,marital_status,monthly_income,nb_dependents,nb_late_payments_1month,nb_late_payments_2months,nb_late_payments_3+months,nb_open_loans,nb_special_loans
7763927,43,middle_aged,0.011638963,0.053385783,1,Male,married,3558.0,2.0,0,0,0,5,0
5620181,32,young,0.031553803,0.032146091,0,Female,single,6625.0,0.0,0,0,0,3,0
6651247,82,senior,0.9999999,1.0,0,Male,divorced,,0.0,0,0,0,4,0
5222993,29,young,0.00666637,4.0,0,Male,married,,0.0,0,0,0,2,0
5450664,31,young,0.09750881500000001,68.0,0,Female,married,,0.0,0,0,0,7,0
7812692,39,young,0.067538998,0.197960408,0,Male,married,5000.0,0.0,0,0,0,5,1
1469773,42,middle_aged,0.679592263,0.609742283,0,Male,married,3530.0,1.0,0,0,0,8,2
6618241,27,young,0.118976205,0.034655115,0,Male,married,3000.0,0.0,0,0,0,4,0
7061470,68,senior,0.641684461,0.95004995,0,Female,single,1000.0,0.0,1,0,0,6,0
1881112,55,middle_aged,0.041342402,0.37110104,0,Male,divorced,3750.0,0.0,0,0,0,12,0
2490069,62,middle_aged,0.03804649,0.003999619,0,Female,single,10500.0,0.0,0,0,0,15,0
7250102,63,middle_aged,0.14146124,1623.0,0,Female,married,,2.0,0,0,0,9,1
3677352,43,middle_aged,0.027279253,1726.0,0,Female,married,,4.0,0,0,0,4,1
4006636,59,middle_aged,0.019632679,0.00339932,0,Male,divorced,5000.0,0.0,0,0,0,7,0
9201214,42,middle_aged,0.148205542,1209.0,0,Male,married,,2.0,0,1,0,11,2
1802216,37,young,0.377303266,0.377719247,0,Male,unspecified,10250.0,2.0,0,0,0,12,2
8350118,60,middle_aged,0.00998004,0.012043796,0,Female,single,2739.0,0.0,0,0,0,4,0
6609492,56,middle_aged,0.034666332,107.0,0,Male,married,,0.0,0,0,0,9,0
2365051,32,young,0.0,0.0,0,Female,married,4311.0,0.0,0,0,0,3,0
5838273,52,middle_aged,0.232969117,0.108533841,0,Male,unspecified,5776.0,1.0,0,0,0,5,0
8261369,43,middle_aged,0.0,0.212424134,0,Female,married,2800.0,5.0,0,0,0,3,0
3902647,50,middle_aged,0.06129654,0.232577869,0,Male,unspecified,8250.0,0.0,0,0,0,8,2
9397960,30,young,0.0,0.083983203,0,Male,single,5000.0,0.0,0,0,0,4,0
9970612,58,middle_aged,0.9999999,0.542104135,0,Female,married,14000.0,2.0,0,0,0,9,2
9615579,86,senior,0.034098295,0.804236956,0,Female,married,2548.0,0.0,0,0,0,11,1
7459337,63,middle_aged,0.005141899,0.277863777,0,Female,married,3875.0,0.0,0,0,0,7,2
1835901,53,middle_aged,0.8665410809999998,0.844847549,0,Male,married,2590.0,0.0,0,0,1,12,1
5371385,61,middle_aged,0.232553489,0.467896023,0,Female,single,4500.0,0.0,1,0,0,9,1
6403896,57,middle_aged,0.181775635,0.16813864399999998,0,Male,married,6000.0,1.0,0,1,0,15,0
1740596,62,middle_aged,0.9999999,0.0,0,Female,single,7250.0,1.0,0,0,0,1,0
2802613,32,young,0.9999999,0.0,1,Female,unspecified,2100.0,4.0,0,0,0,0,0
2112061,58,middle_aged,0.041820289,3846.0,0,Female,divorced,,0.0,0,0,0,15,2
5004983,45,middle_aged,0.35486843,3327.0,0,Female,married,,0.0,0,0,0,10,2
5989214,42,middle_aged,0.010038283,0.323417988,0,Male,widowed,7126.0,0.0,0,0,0,12,2
7285110,85,senior,0.0,0.0,0,Male,married,10500.0,0.0,0,0,0,1,0
7717028,47,middle_aged,0.0,0.34047415,0,Male,divorced,3500.0,2.0,0,0,0,5,1
9441775,52,middle_aged,0.0,0.042591482,0,Male,single,5000.0,2.0,0,0,0,6,1
4110818,43,middle_aged,0.52766748,0.440735365,0,Female,married,6200.0,2.0,0,0,0,10,2
4514955,56,middle_aged,0.0,0.480431177,0,Male,married,6029.0,3.0,2,0,0,16,2
3347651,77,senior,0.057697115,2002.0,0,Male,married,,0.0,0,0,0,3,1
4182465,53,middle_aged,0.50763602,0.388496357,0,Male,divorced,9057.0,2.0,1,0,0,16,1
1169479,31,young,0.92020399,0.376721373,0,Female,married,5300.0,1.0,0,0,0,2,1
7220539,52,middle_aged,0.918729168,0.454317269,1,Male,married,3983.0,0.0,1,0,0,12,3
5667944,84,senior,0.0,5.0,0,Female,unspecified,,0.0,2,1,1,4,0
9296470,60,middle_aged,0.131643929,0.176091195,0,Male,divorced,20000.0,2.0,0,0,0,11,2
4459075,62,middle_aged,0.02634837,0.243219598,0,Male,widowed,8000.0,0.0,0,0,0,6,2
9834042,65,senior,0.833488639,2439.0,0,Male,divorced,,0.0,3,0,0,8,2
